benchmark,param,method,l2_mean,l2_std,n_params,elapsed_mean,l2_mean_std,method_group
Adv-Diff,Pe=100.0,fixed_bspline_pikan,3.113830089569092,0.017672846757806494,910.0,1191.0013907999987,3.114e+00 ± 1.8e-02,C_BSpline
Adv-Diff,Pe=100.0,fixed_pikan,4.606520318984986,1.8998590255781513,780.0,538.8920835400007,4.607e+00 ± 1.9e+00,B_Chebyshev
Adv-Diff,Pe=100.0,mlp_pinn,3.685327339172363,1.3716421137570958,8577.0,194.92653738000007,3.685e+00 ± 1.4e+00,A_MLP
Adv-Diff,Pe=100.0,ra_pikan,1.7613921523094178,0.6406719195899555,2860.0,2915.3775346399984,1.761e+00 ± 6.4e-01,C_BSpline
Adv-Diff,Pe=100.0,rad_pinn,3.0302886009216308,0.005842662020517519,8577.0,114.2804089600002,3.030e+00 ± 5.8e-03,A_MLP
Adv-Diff,Pe=100.0,uniform_pikan,2.9753203868865965,0.3968419215044053,2730.0,1175.739009919999,2.975e+00 ± 4.0e-01,C_BSpline
Adv-Diff,Pe=500.0,fixed_bspline_pikan,3.1142786026000975,0.018406175906942487,910.0,1564.267778899995,3.114e+00 ± 1.8e-02,C_BSpline
Adv-Diff,Pe=500.0,fixed_pikan,4.567664289474488,2.0012306706304615,780.0,610.079275600001,4.568e+00 ± 2.0e+00,B_Chebyshev
Adv-Diff,Pe=500.0,mlp_pinn,4.96869912147522,1.7036966865235241,8577.0,117.74072585999966,4.969e+00 ± 1.7e+00,A_MLP
Adv-Diff,Pe=500.0,ra_pikan,3.0870972156524656,0.13004865556238876,2860.0,1602.5903191999998,3.087e+00 ± 1.3e-01,C_BSpline
Adv-Diff,Pe=500.0,rad_pinn,3.0647826194763184,0.014182286596318249,8577.0,131.7199989399989,3.065e+00 ± 1.4e-02,A_MLP
Adv-Diff,Pe=500.0,uniform_pikan,3.0787652492523194,0.0478191204015096,2730.0,1230.005187819997,3.079e+00 ± 4.8e-02,C_BSpline
Allen-Cahn,eps=0.05,fixed_bspline_pikan,0.011386722140014119,0.002366487903451709,910.0,538.03026666,1.139e-02 ± 2.4e-03,C_BSpline
Allen-Cahn,eps=0.05,fixed_pikan,0.01008870620280498,0.00211529994829688,780.0,99.02685089999541,1.009e-02 ± 2.1e-03,B_Chebyshev
Allen-Cahn,eps=0.05,mlp_pinn,0.1217918694019317,0.037027620485198184,8577.0,50.94550534000373,1.218e-01 ± 3.7e-02,A_MLP
Allen-Cahn,eps=0.05,ra_pikan,0.00047536554629908003,5.057626265870164e-05,2860.0,1167.0116692400072,4.754e-04 ± 5.1e-05,C_BSpline
Allen-Cahn,eps=0.05,rad_pinn,0.13405882269144057,0.024815412858008357,8577.0,26.135558180000224,1.341e-01 ± 2.5e-02,A_MLP
Allen-Cahn,eps=0.05,uniform_pikan,0.0012265958590432602,0.00017796790673192933,2730.0,484.43143807999985,1.227e-03 ± 1.8e-04,C_BSpline
Allen-Cahn,eps=0.1,fixed_bspline_pikan,0.01388028915971514,0.008664270709038809,910.0,540.0537077000047,1.388e-02 ± 8.7e-03,C_BSpline
Allen-Cahn,eps=0.1,fixed_pikan,0.00621667690575116,0.0010754340865259892,780.0,82.94839190001187,6.217e-03 ± 1.1e-03,B_Chebyshev
Allen-Cahn,eps=0.1,mlp_pinn,0.0871337532997131,0.028509824531477598,8577.0,39.61879433999604,8.713e-02 ± 2.9e-02,A_MLP
Allen-Cahn,eps=0.1,ra_pikan,0.00049879228463394,0.00011352290257994739,2860.0,325.92378614000046,4.988e-04 ± 1.1e-04,C_BSpline
Allen-Cahn,eps=0.1,rad_pinn,0.09694179520010944,0.030955447037703306,8577.0,29.314802240004816,9.694e-02 ± 3.1e-02,A_MLP
Allen-Cahn,eps=0.1,uniform_pikan,0.0006850563688202999,0.00026648665826004925,2730.0,389.8204617199837,6.851e-04 ± 2.7e-04,C_BSpline
Burgers,nu=0.001,fixed_bspline_pikan,0.3520278215408325,0.015003801974270722,910.0,522.794482620008,3.520e-01 ± 1.5e-02,C_BSpline
Burgers,nu=0.001,fixed_pikan,0.339359724521637,0.014685685546663423,780.0,81.42529262001044,3.394e-01 ± 1.5e-02,B_Chebyshev
Burgers,nu=0.001,mlp_pinn,0.3627623856067657,0.012738429926881215,8577.0,33.7250881600019,3.628e-01 ± 1.3e-02,A_MLP
Burgers,nu=0.001,ra_pikan,0.35542453527450557,0.029382966347412078,2860.0,1015.7908431800199,3.554e-01 ± 2.9e-02,C_BSpline
Burgers,nu=0.001,rad_pinn,0.3509845972061157,0.011843639909658964,8577.0,28.045700240001317,3.510e-01 ± 1.2e-02,A_MLP
Burgers,nu=0.001,uniform_pikan,0.2692501276731491,0.027375044060594905,2730.0,476.4935486999981,2.693e-01 ± 2.7e-02,C_BSpline
Burgers,nu=0.005,fixed_bspline_pikan,0.3189101099967956,0.019931482174687227,910.0,513.0460611599963,3.189e-01 ± 2.0e-02,C_BSpline
Burgers,nu=0.005,fixed_pikan,0.14867044538259505,0.028619908254865177,780.0,51.924398939998355,1.487e-01 ± 2.9e-02,B_Chebyshev
Burgers,nu=0.005,mlp_pinn,0.2851072430610656,0.026684227257063625,8577.0,22.52837093999842,2.851e-01 ± 2.7e-02,A_MLP
Burgers,nu=0.005,ra_pikan,0.31806949377059934,0.07247624535074591,2860.0,975.911244539998,3.181e-01 ± 7.2e-02,C_BSpline
Burgers,nu=0.005,rad_pinn,0.2709442228078842,0.030980194350335017,8577.0,27.329849220003233,2.709e-01 ± 3.1e-02,A_MLP
Burgers,nu=0.005,uniform_pikan,0.2883224725723266,0.06215284492627819,2730.0,478.76071225999624,2.883e-01 ± 6.2e-02,C_BSpline
Burgers,nu=0.01,fixed_bspline_pikan,0.3016984224319458,0.022036511415775666,910.0,518.0239987800014,3.017e-01 ± 2.2e-02,C_BSpline
Burgers,nu=0.01,fixed_pikan,0.05245342701673504,0.007463519606516911,780.0,53.627096920000625,5.245e-02 ± 7.5e-03,B_Chebyshev
Burgers,nu=0.01,mlp_pinn,0.1343050047755241,0.03352830717241951,8577.0,22.453949839994312,1.343e-01 ± 3.4e-02,A_MLP
Burgers,nu=0.01,ra_pikan,0.18353104963898656,0.12135694976321942,2860.0,1252.3772597800125,1.835e-01 ± 1.2e-01,C_BSpline
Burgers,nu=0.01,rad_pinn,0.13468022346496578,0.021713736123624153,8577.0,28.04095938000828,1.347e-01 ± 2.2e-02,A_MLP
Burgers,nu=0.01,uniform_pikan,0.22098633199930187,0.10354127293658608,2730.0,494.41057522000045,2.210e-01 ± 1.0e-01,C_BSpline
Duffing,symbolic,fixed_bspline_pikan,0.1237752333283424,0.03872757915775035,840.0,225.01840882000107,1.238e-01 ± 3.9e-02,C_BSpline
Duffing,symbolic,fixed_pikan,0.7908615946769715,0.02558521073721697,720.0,50.56320796000009,7.909e-01 ± 2.6e-02,B_Chebyshev
Duffing,symbolic,mlp_pinn,0.39644260406494136,0.03259481456039201,4353.0,15.393415060000098,3.964e-01 ± 3.3e-02,A_MLP
Duffing,symbolic,ra_pikan,0.787947702407837,0.02752292742365924,720.0,50.3850993,7.879e-01 ± 2.8e-02,C_BSpline
Duffing,symbolic,rad_pinn,0.3298080205917358,0.02190344484919275,4353.0,12.457238659996074,3.298e-01 ± 2.2e-02,A_MLP
Duffing,symbolic,uniform_pikan,0.1638520687818527,0.0962567347146112,2640.0,228.0327775599988,1.639e-01 ± 9.6e-02,C_BSpline
