method,seed,layer,formula,r2
fixed_pikan,123,0,-0.0390*x^3 + -1.8129*sin + 2.0240*tanh,0.5126404762268066
fixed_pikan,123,0,2.9630*sin + -0.0796*cos + -3.1067*tanh,0.6732617020606995
fixed_pikan,123,0,0.0573*x^3 + 3.7523*sin + -3.9421*tanh,0.8716742992401123
fixed_pikan,123,0,-0.0082*x^4 + -0.1656*cos + 0.0630*exp,0.8965420722961426
fixed_pikan,123,0,-0.1996*1 + -0.0617*exp + 0.3930*sqrt,0.963362455368042
fixed_pikan,123,0,0.1320*x^3 + -0.3559*exp + 0.6523*sqrt,0.9567572474479676
fixed_pikan,123,0,-0.0940*x^3 + -4.6033*sin + 5.1870*tanh,0.6275238394737244
fixed_pikan,123,0,0.4446*1 + -0.1119*x^2 + -0.4854*cos,0.9828476309776306
fixed_pikan,123,0,3.4559*sin + 0.1270*cos + -3.4743*tanh,0.7787035703659058
fixed_pikan,123,0,0.1982*x + 0.0403*log + -0.4336*tanh,0.8197190761566162
fixed_pikan,123,1,-1.3276*1 + 0.5044*x + -0.8166*tanh,0.5575544238090515
fixed_pikan,123,1,-0.6199*1 + 0.3692*x + -0.6908*tanh,0.8051477670669556
fixed_pikan,123,1,0.1069*x^2 + 0.0311*sin + -0.4283*sqrt,0.8271600604057312
fixed_pikan,123,1,-0.1732*x^3 + 0.2893*exp + -1.1188*sqrt,0.7611768841743469
fixed_pikan,123,1,0.7458*1 + -0.1832*x + 0.3829*sin,0.8707475662231445
fixed_pikan,123,1,-0.2120*x^2 + -0.1163*log + 1.1555*sqrt,0.6540822982788086
fixed_pikan,123,1,0.0281*x^3 + -0.0190*x^4 + 0.1497*sqrt,0.809910774230957
fixed_pikan,123,1,0.1030*sin + -0.5819*cos + -0.6341*sqrt,0.8805474638938904
fixed_pikan,123,1,0.0257*x^2 + 0.0300*x^3 + 0.1650*sqrt,0.933281183242798
fixed_pikan,123,1,-0.0238*x^3 + -0.4316*cos + -0.6051*sqrt,0.5491043329238892
fixed_pikan,123,1,-1.5987*1 + -0.0537*x^3 + 0.1457*exp,0.9279391765594482
fixed_pikan,123,1,-0.6600*1 + -0.1775*sin + 0.1614*cos,0.8645197749137878
fixed_pikan,123,1,-0.0188*x^4 + 0.0436*exp + 0.0467*log,0.6946224570274353
fixed_pikan,123,1,-1.3293*1 + 0.8356*cos + 0.9562*sqrt,0.6743120551109314
fixed_pikan,123,1,0.0112*x^3 + 0.5948*cos + 0.6843*sqrt,0.624282717704773
fixed_pikan,123,1,0.6301*1 + -0.4749*x + 0.6510*tanh,0.8859286308288574
fixed_pikan,123,1,-0.1378*1 + -0.1472*x^2 + 0.4690*sqrt,0.7956496477127075
fixed_pikan,123,1,-0.9225*1 + 0.0758*exp + -0.1950*tanh,0.3274765014648437
fixed_pikan,123,1,0.0875*1 + 0.3143*x + -0.4555*tanh,0.7757700681686401
fixed_pikan,123,1,-0.6418*1 + -0.0245*x^2 + 0.0084*x^3,0.2539619207382202
fixed_pikan,123,1,-1.4348*1 + -0.0943*x + 0.0626*x^2,0.5778656005859375
fixed_pikan,123,1,0.0848*x^3 + -0.3323*cos + -0.0938*exp,0.6443864107131958
fixed_pikan,123,1,-1.8319*sin + -0.0862*exp + 2.1558*tanh,0.6269689798355103
fixed_pikan,123,1,0.1375*x^3 + 0.0527*x^4 + -0.2576*exp,0.8364772796630859
fixed_pikan,123,1,0.6442*cos + 0.2558*exp + -0.6408*tanh,0.7704285383224487
fixed_pikan,123,1,-0.2853*x + 0.4519*cos + 0.1314*exp,0.9393399357795716
fixed_pikan,123,1,0.0881*x + -0.0147*x^4 + 0.2753*sqrt,0.8109431862831116
fixed_pikan,123,1,-0.3122*x^2 + 0.0208*x^3 + -0.7260*cos,0.7759191393852234
fixed_pikan,123,1,-0.3669*x + 0.1669*exp + -0.4485*sqrt,0.9415311217308044
fixed_pikan,123,1,-0.7626*1 + -1.8051*sin + 1.7959*tanh,0.7067652940750122
fixed_pikan,123,1,-1.1159*1 + 0.2209*x + -0.1715*exp,0.6612458825111389
fixed_pikan,123,1,-0.4024*1 + -2.4569*sin + 2.4623*tanh,0.7704841494560242
fixed_pikan,123,1,0.4640*x + -0.2124*sqrt + -0.6306*tanh,0.787844181060791
fixed_pikan,123,1,-0.3591*1 + 0.1105*exp + -0.2662*tanh,0.9392423629760742
fixed_pikan,123,1,0.9881*1 + 0.0556*log + 0.0899*tanh,0.6995923519134521
fixed_pikan,123,1,0.5582*1 + -0.5031*x + 0.9308*tanh,0.8879469037055969
fixed_pikan,123,1,-0.0353*x + 0.0700*x^2 + -0.1693*sqrt,0.8895330429077148
fixed_pikan,123,1,-0.9247*1 + -0.8333*x + 1.3042*tanh,0.6932268142700195
fixed_pikan,123,1,-0.0933*x + 0.0176*x^4 + 0.2523*tanh,0.8321222066879272
fixed_pikan,123,1,-0.6433*1 + -0.0518*x + -0.0266*x^2,0.9601508378982544
fixed_pikan,123,1,0.0244*x^3 + -0.9047*cos + -1.2643*sqrt,0.5995574593544006
fixed_pikan,123,1,-0.4975*1 + 0.4373*x + -0.4806*tanh,0.8004931211471558
fixed_pikan,123,1,-0.0152*x^3 + 0.0210*x^4 + -0.4911*sqrt,0.9165343046188354
fixed_pikan,123,1,-0.3156*1 + 1.9343*sin + -1.9680*tanh,0.4669146537780761
fixed_pikan,123,1,0.7855*1 + 0.0644*exp + -0.3350*tanh,0.833747923374176
fixed_pikan,123,1,0.5914*1 + -0.2892*x + 0.5251*tanh,0.8506559729576111
fixed_pikan,123,1,-0.1372*x^2 + -0.1575*cos + 0.4918*sqrt,0.5792510509490967
fixed_pikan,123,1,-0.8574*1 + 0.0426*x + 0.0654*x^2,0.4972954392433166
fixed_pikan,123,1,0.2275*1 + 0.1537*x^2 + -0.5776*sqrt,0.6346211433410645
fixed_pikan,123,1,-0.6186*1 + 2.5282*sin + -2.4818*tanh,0.8566496968269348
fixed_pikan,123,1,-0.4231*x^2 + -0.0123*x^3 + -1.3034*cos,0.526030957698822
fixed_pikan,123,1,-0.6221*1 + -0.5577*x + 0.8066*tanh,0.431175947189331
fixed_pikan,123,1,0.1192*x^2 + 0.0444*cos + -0.4837*sqrt,0.8612604737281799
fixed_pikan,123,1,0.1479*x^2 + -0.0105*x^3 + -0.6368*sqrt,0.6996172666549683
fixed_pikan,123,1,0.5625*cos + 0.8080*sqrt + -0.1340*tanh,0.5670269727706909
fixed_pikan,123,1,0.6370*1 + 2.0703*sin + -2.1627*tanh,0.392078697681427
fixed_pikan,123,1,0.1013*x^2 + -0.0507*exp + 0.3734*tanh,0.9219212532043456
fixed_pikan,123,1,-0.4439*1 + 0.0905*sin + 0.1356*log,0.664225161075592
fixed_pikan,123,1,0.0713*1 + -0.9425*sin + 0.8940*tanh,0.846943736076355
fixed_pikan,123,1,-0.5377*cos + -0.1398*exp + 0.3887*tanh,0.6552634239196777
fixed_pikan,123,1,-0.9554*1 + -0.3608*cos + -0.2611*sqrt,0.6971020102500916
fixed_pikan,123,1,-0.4802*1 + 0.2801*x + -0.5557*tanh,0.5029326677322388
fixed_pikan,123,1,0.0997*x^2 + -0.0663*sin + -0.3768*sqrt,0.5808746218681335
fixed_pikan,123,1,0.3501*x + 0.1611*x^2 + -0.1846*exp,0.9274778962135316
fixed_pikan,123,1,-0.1302*x^3 + 0.2498*exp + -0.2272*log,0.7577463984489441
fixed_pikan,123,1,-0.4551*x + 0.3536*cos + 0.2139*exp,0.9168106317520142
fixed_pikan,123,1,0.0374*x^2 + 0.0185*exp + -0.1240*sqrt,0.697852373123169
fixed_pikan,123,1,-0.7830*1 + 0.2315*x + -0.1634*tanh,0.7055744528770447
fixed_pikan,123,1,0.1412*1 + 0.3326*sin + -0.0867*exp,0.9196472764015198
fixed_pikan,123,1,-0.2504*exp + 0.1602*log + 0.5516*tanh,0.7486413717269897
fixed_pikan,123,1,-1.4956*1 + -0.0572*x + 0.3170*sqrt,0.7354570627212524
fixed_pikan,123,1,-0.5972*1 + -0.0654*x^2 + 0.3065*sqrt,0.8077784180641174
fixed_pikan,123,1,-0.1285*cos + 0.0684*sqrt + -0.0188*tanh,0.96493798494339
fixed_pikan,123,1,-0.4688*1 + -0.2562*x^2 + 0.9043*sqrt,0.8130450248718262
fixed_pikan,123,1,0.9441*1 + 0.0198*x^4 + -0.4660*sqrt,0.7599692344665527
fixed_pikan,123,1,0.7165*1 + -0.0617*exp + 0.3304*tanh,0.8249551653862
fixed_pikan,123,1,2.3260*sin + 0.0341*exp + -2.5010*tanh,0.5760127305984497
fixed_pikan,123,1,0.4812*x + -0.3780*cos + -0.3427*exp,0.6685587167739868
fixed_pikan,123,1,0.0489*x^3 + -0.0831*exp + 0.3655*sqrt,0.4637206792831421
fixed_pikan,123,1,-0.6299*1 + 1.3088*sin + -1.3737*tanh,0.1966797113418579
fixed_pikan,123,1,-1.4460*1 + 2.0073*sin + -1.9854*tanh,0.5895125865936279
fixed_pikan,123,1,-0.3821*x + 0.1883*log + 0.7036*tanh,0.8290681838989258
fixed_pikan,123,1,0.1122*x^3 + -0.1878*exp + 0.4900*sqrt,0.576583981513977
fixed_pikan,123,1,-0.2815*1 + 2.0544*sin + -1.9810*tanh,0.8408145904541016
fixed_pikan,123,1,1.0237*1 + -0.4830*x + 0.8852*tanh,0.6627241969108582
fixed_pikan,123,1,0.7451*1 + 0.3325*sin + -0.0927*exp,0.828944206237793
fixed_pikan,123,1,-0.4806*x + 0.1050*sqrt + 0.8424*tanh,0.7486055493354797
fixed_pikan,123,1,-1.2432*1 + -0.3057*x^2 + 1.4138*sqrt,0.8615174293518066
fixed_pikan,123,1,-0.1075*x^2 + 0.0401*x^3 + 0.3919*sqrt,0.9217972755432128
fixed_pikan,123,1,-0.7251*1 + -2.6089*sin + 2.5927*tanh,0.6850498914718628
fixed_pikan,123,1,-1.4767*1 + -1.9400*sin + 1.9427*tanh,0.6757690906524658
fixed_pikan,123,1,-0.5743*1 + -0.6279*x + 1.0387*tanh,0.7784662842750549
fixed_pikan,123,1,-0.1215*cos + 0.0774*sqrt + 0.0818*tanh,0.6278953552246094
fixed_pikan,123,1,0.1861*x^2 + -0.0465*exp + -0.4236*sqrt,0.908791720867157
fixed_pikan,123,1,-0.0371*x^3 + 0.0639*x^4 + 0.6800*cos,0.5815901756286621
fixed_pikan,123,1,0.6095*1 + -2.3153*sin + 2.4876*tanh,0.56596440076828
fixed_pikan,123,1,-0.1589*exp + 0.4052*sqrt + 0.5176*tanh,0.906146764755249
fixed_pikan,123,1,-0.9289*1 + -0.2821*x + 0.4201*tanh,0.565400242805481
fixed_pikan,123,1,-0.1107*x^3 + -3.8828*sin + 4.4756*tanh,0.6025960445404053
fixed_pikan,123,1,-0.8491*1 + -0.1409*x^2 + 0.6163*sqrt,0.3337073922157287
fixed_pikan,123,2,-0.1476*x^3 + -5.9010*sin + 6.8100*tanh,0.718559741973877
fixed_pikan,123,2,-0.1705*x^2 + -0.0637*sin + 0.5893*sqrt,0.7734293341636658
fixed_pikan,123,2,0.6187*x + 0.2215*cos + -1.0040*tanh,0.4226885437965393
fixed_pikan,123,2,0.1789*x + -0.0591*log + -0.3605*tanh,0.5572419762611389
fixed_pikan,123,2,0.1630*1 + -0.0157*x^3 + 0.0211*exp,0.8091282844543457
fixed_pikan,123,2,0.3659*x + -0.0640*log + -0.5706*tanh,0.8054474592208862
fixed_pikan,123,2,-0.3832*x + -0.0764*log + 0.7153*tanh,0.7097412943840027
fixed_pikan,123,2,0.1031*cos + 0.1053*exp + -0.1692*tanh,0.5227302312850952
fixed_pikan,123,2,-0.1380*x^3 + -0.0374*x^4 + 0.2837*exp,0.8798960447311401
fixed_pikan,123,2,-0.1346*x^2 + 0.0881*sin + 0.6626*sqrt,0.94122314453125
fixed_pikan,1234,0,-0.0446*x^3 + -1.0188*sin + 1.2192*tanh,0.9170214533805848
fixed_pikan,1234,0,-0.0937*x^2 + -0.0418*exp + 0.1896*sqrt,0.9020226001739502
fixed_pikan,1234,0,-0.1003*1 + -0.0484*x^3 + 0.0321*exp,0.8559983968734741
fixed_pikan,1234,0,-0.0077*x^4 + 0.0548*log + -0.1140*tanh,0.7599285244941711
fixed_pikan,1234,0,0.0656*x^3 + -0.1739*exp + 0.3885*sqrt,0.8531826138496399
fixed_pikan,1234,0,0.5208*x + -0.0370*exp + -0.5923*tanh,0.8372892141342163
fixed_pikan,1234,0,0.0187*x^4 + 0.2767*cos + -0.2558*sqrt,0.9401809573173524
fixed_pikan,1234,0,-0.2070*exp + 0.4322*sqrt + 0.4035*tanh,0.862870454788208
fixed_pikan,1234,0,0.0963*1 + -2.1134*sin + 2.2986*tanh,0.310028076171875
fixed_pikan,1234,0,-0.4152*1 + -0.2308*x^2 + 0.9177*sqrt,0.7598656415939331
fixed_pikan,1234,1,-1.9181*1 + 0.0909*x + 0.0878*sqrt,0.8102744817733765
fixed_pikan,1234,1,-0.0947*x^3 + 0.4608*cos + 0.2018*exp,0.8459329009056091
fixed_pikan,1234,1,-0.0643*x^3 + 0.0821*cos + 0.1301*exp,0.9258736968040466
fixed_pikan,1234,1,-0.0658*x^3 + -4.9563*sin + 5.4331*tanh,0.3593005537986755
fixed_pikan,1234,1,-0.2245*1 + -2.4481*sin + 2.3722*tanh,0.6089117527008057
fixed_pikan,1234,1,-0.7405*1 + -0.0393*x^3 + 0.3936*sqrt,0.8781144618988037
fixed_pikan,1234,1,0.5491*x^2 + -0.0204*x^4 + 1.6516*cos,0.8194916844367981
fixed_pikan,1234,1,0.3275*x^2 + -0.0252*x^3 + 0.8543*cos,0.7100595235824585
fixed_pikan,1234,1,0.0236*x^3 + -0.4345*cos + -0.6056*sqrt,0.8635239601135254
fixed_pikan,1234,1,-0.1462*x^2 + 0.0471*sin + 0.3750*sqrt,0.7478928565979004
fixed_pikan,1234,1,-2.1498*1 + -0.1967*x^2 + 0.8700*sqrt,0.7553294897079468
fixed_pikan,1234,1,0.5078*1 + 1.9351*sin + -1.9266*tanh,0.5570479035377502
fixed_pikan,1234,1,-0.1646*sin + -0.1166*log + -0.3160*sqrt,0.8458256125450134
fixed_pikan,1234,1,-2.2414*sin + -0.2150*sqrt + 2.3870*tanh,0.7220008373260498
fixed_pikan,1234,1,0.0776*x^3 + -0.1423*cos + -0.1828*exp,0.7782067656517029
fixed_pikan,1234,1,-0.5544*1 + 0.5802*x + -0.8253*tanh,0.5657484531402588
fixed_pikan,1234,1,1.8170*1 + 0.0391*x^3 + -0.0421*exp,0.5522745847702026
fixed_pikan,1234,1,-0.0285*x^3 + 0.6024*cos + 1.1441*sqrt,0.7717495560646057
fixed_pikan,1234,1,0.2904*x^2 + 0.0783*log + -1.4703*sqrt,0.8965054750442505
fixed_pikan,1234,1,0.0968*exp + -0.2186*sqrt + -0.1639*tanh,0.7368170619010925
fixed_pikan,1234,1,-1.8756*1 + -0.0579*exp + 0.1718*sqrt,0.9399799108505248
fixed_pikan,1234,1,0.1773*sin + 0.4441*cos + 0.7309*sqrt,0.893808901309967
fixed_pikan,1234,1,-0.2432*x^2 + -0.0160*x^3 + 0.7029*sqrt,0.5725188255310059
fixed_pikan,1234,1,-0.0157*x^4 + -3.2259*sin + 3.3754*tanh,0.6878665685653687
fixed_pikan,1234,1,-0.0074*x^3 + -0.2535*cos + -0.5096*sqrt,0.6286095380783081
fixed_pikan,1234,1,0.3858*x + -0.2192*exp + 0.1460*log,0.6901282072067261
fixed_pikan,1234,1,1.6781*1 + -0.0837*exp + 0.3254*tanh,0.8468196392059326
fixed_pikan,1234,1,-0.5279*x + 0.5306*cos + 0.3018*exp,0.7765284776687622
fixed_pikan,1234,1,-0.6108*1 + -1.3174*sin + 1.3318*tanh,0.6406856775283813
fixed_pikan,1234,1,0.0750*1 + 0.6904*sin + -0.6784*tanh,0.7667280435562134
fixed_pikan,1234,1,-1.9172*1 + 0.0906*exp + -0.2550*tanh,0.5922529697418213
fixed_pikan,1234,1,0.4592*1 + 0.1079*exp + -0.5170*tanh,0.9655367136001588
fixed_pikan,1234,1,-0.0521*x^3 + 0.0940*cos + 0.1148*exp,0.7134741544723511
fixed_pikan,1234,1,2.1138*sin + -0.0965*cos + -2.2786*tanh,0.707823634147644
fixed_pikan,1234,1,-0.5009*1 + -0.5945*x + 0.9985*tanh,0.8436245918273926
fixed_pikan,1234,1,-0.5869*1 + -0.0941*sqrt + -0.1071*tanh,0.6255396604537964
fixed_pikan,1234,1,1.5306*1 + 0.0214*exp + -0.0284*log,0.4699885845184326
fixed_pikan,1234,1,1.1846*1 + 0.0302*x^4 + -0.7511*sqrt,0.8870471715927124
fixed_pikan,1234,1,-0.6781*1 + -0.1304*sin + 0.0565*exp,0.752072274684906
fixed_pikan,1234,1,-0.0468*x^3 + 0.1407*cos + 0.0325*exp,0.8192565441131592
fixed_pikan,1234,1,-1.6729*1 + -0.0657*sin + 0.0736*log,0.7737395167350769
fixed_pikan,1234,1,-0.3002*x + 0.4084*cos + 0.1565*exp,0.8578834533691406
fixed_pikan,1234,1,-0.1477*x^2 + 0.1778*exp + -0.3627*tanh,0.7362857460975647
fixed_pikan,1234,1,-0.1278*x + 0.0669*x^3 + -0.0704*exp,0.9165765047073364
fixed_pikan,1234,1,-0.0421*x^4 + -0.1249*sin + 0.1326*log,0.6964257955551147
fixed_pikan,1234,1,-0.4351*1 + 0.0741*x^3 + -0.1147*exp,0.526045560836792
fixed_pikan,1234,1,1.5351*1 + -0.0435*x^3 + 0.1020*exp,0.8605467677116394
fixed_pikan,1234,1,0.8738*1 + -0.3540*x + 0.6307*tanh,0.5371001958847046
fixed_pikan,1234,1,-0.7871*1 + -0.0985*x^2 + 0.5520*sqrt,0.3650946617126465
fixed_pikan,1234,1,-0.0800*x^3 + -0.0310*x^4 + 0.1486*exp,0.4879181981086731
fixed_pikan,1234,1,-1.8599*1 + 0.7773*sin + -0.6888*tanh,0.9091065526008606
fixed_pikan,1234,1,0.7175*1 + -0.4286*sqrt + 0.1286*tanh,0.6938542127609253
fixed_pikan,1234,1,0.1558*x + -0.1484*x^2 + 0.6348*sqrt,0.9702280163764954
fixed_pikan,1234,1,-0.0294*x^3 + 0.0113*x^4 + -0.4004*sqrt,0.813287615776062
fixed_pikan,1234,1,-0.3371*1 + 2.4511*sin + -2.4078*tanh,0.8209655284881592
fixed_pikan,1234,1,-0.7089*1 + -0.0364*log + -0.0921*tanh,0.6896275281906128
fixed_pikan,1234,1,1.6715*1 + -0.0366*x^3 + 0.2612*sin,0.7923741340637207
fixed_pikan,1234,1,0.3106*x^2 + -0.0310*x^3 + 0.9181*cos,0.7268822193145752
fixed_pikan,1234,1,-0.5706*1 + -0.4626*x + 0.6848*tanh,0.8337060213088989
fixed_pikan,1234,1,0.1338*1 + -0.0200*x^3 + -0.1125*sqrt,0.8705610036849976
fixed_pikan,1234,1,-1.9389*1 + 0.2086*exp + -0.5683*tanh,0.7739031910896301
fixed_pikan,1234,1,-0.0390*x^3 + 0.4713*cos + 0.1411*exp,0.789920449256897
fixed_pikan,1234,1,-0.2497*x^2 + -0.2402*sin + 0.6992*sqrt,0.9096311330795288
fixed_pikan,1234,1,-0.2323*1 + 0.0419*exp + -0.2484*tanh,0.8316090106964111
fixed_pikan,1234,1,-0.4777*1 + 1.1613*sin + -1.2878*tanh,0.5584710836410522
fixed_pikan,1234,1,-0.5567*1 + 1.3055*sin + -1.3697*tanh,0.5843526721000671
fixed_pikan,1234,1,1.7274*1 + -0.0926*exp + 0.1737*tanh,0.9049315452575684
fixed_pikan,1234,1,-0.3652*x + 0.6153*cos + 0.2845*exp,0.7142573595046997
fixed_pikan,1234,1,-0.5774*1 + -0.1436*x + -0.0102*x^4,0.9734111428260804
fixed_pikan,1234,1,-0.0610*x^3 + -0.0207*x^4 + 0.1418*exp,0.8579550385475159
fixed_pikan,1234,1,-1.7480*1 + -1.7786*sin + 1.8511*tanh,0.2124894857406616
fixed_pikan,1234,1,0.8286*1 + 4.2121*sin + -4.4699*tanh,0.4818067550659179
fixed_pikan,1234,1,0.1378*cos + 0.0636*exp + -0.2271*tanh,0.7425981760025024
fixed_pikan,1234,1,0.3539*sin + -0.1414*exp + 0.2196*sqrt,0.8211691379547119
fixed_pikan,1234,1,0.0432*x^3 + -0.2777*cos + -0.0944*exp,0.3663421869277954
fixed_pikan,1234,1,-0.0465*x^4 + -0.5147*cos + 0.0751*tanh,0.5775457620620728
fixed_pikan,1234,1,1.9163*1 + 0.2173*x^2 + -0.9036*sqrt,0.5614884495735168
fixed_pikan,1234,1,1.0435*1 + -0.0099*x^4 + -0.1047*tanh,0.8230410814285278
fixed_pikan,1234,1,-0.3674*cos + -0.1422*exp + 0.4169*tanh,0.4968648552894592
fixed_pikan,1234,1,-0.1081*cos + -0.0200*exp + -0.0835*log,0.6486151814460754
fixed_pikan,1234,1,-1.8640*1 + 0.9317*sin + -0.8926*tanh,0.6788848638534546
fixed_pikan,1234,1,0.0191*x^3 + 0.5194*cos + 0.6975*sqrt,0.6552863121032715
fixed_pikan,1234,1,0.1120*sin + -0.0483*log + 0.3825*sqrt,0.9831249713897704
fixed_pikan,1234,1,0.0530*x^3 + -0.1301*exp + 0.4343*sqrt,0.808986246585846
fixed_pikan,1234,1,-0.4540*1 + 0.1215*sin + 0.2022*sqrt,0.9480313658714294
fixed_pikan,1234,1,-0.7415*1 + -0.0760*x^3 + 0.1108*exp,0.8687560558319092
fixed_pikan,1234,1,0.6108*x^2 + 0.0185*x^3 + 1.5553*cos,0.575577974319458
fixed_pikan,1234,1,1.1756*1 + -0.6966*x + 1.0575*tanh,0.3761508464813232
fixed_pikan,1234,1,-0.9397*1 + -0.2811*x^2 + 1.1066*sqrt,0.6069077253341675
fixed_pikan,1234,1,-0.3180*x + 0.2802*sqrt + 0.3474*tanh,0.9820792078971864
fixed_pikan,1234,1,-1.9446*1 + 0.3177*x + -0.4102*tanh,0.737864077091217
fixed_pikan,1234,1,-0.3011*x + 0.4667*cos + 0.1959*exp,0.4885080456733703
fixed_pikan,1234,1,0.0797*1 + 0.0259*exp + -0.0470*log,0.3116445541381836
fixed_pikan,1234,1,0.0316*x^4 + -0.1700*exp + 0.4766*tanh,0.8645666837692261
fixed_pikan,1234,1,-0.4242*1 + 0.0638*exp + -0.1472*sqrt,0.9218133091926576
fixed_pikan,1234,1,-0.7291*1 + 0.6158*x + -1.0499*tanh,0.8364001512527466
fixed_pikan,1234,1,0.4932*x^2 + 1.6334*cos + -0.1350*tanh,0.9555635452270508
fixed_pikan,1234,1,0.6346*cos + -0.0320*log + 0.9177*sqrt,0.8319207429885864
fixed_pikan,1234,1,-0.6707*1 + -0.0250*exp + 0.2114*sqrt,0.6825869083404541
fixed_pikan,1234,1,0.1138*1 + -0.1770*x + 0.2852*tanh,0.8670809268951416
fixed_pikan,1234,2,-0.1539*x^3 + 0.5487*cos + 0.3243*exp,0.9035272002220154
fixed_pikan,1234,2,0.8465*1 + -2.2948*sin + 2.4030*tanh,0.265162706375122
fixed_pikan,1234,2,0.6917*1 + -0.1167*sin + -0.0850*log,0.6150193214416504
